amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
7,31,0,0,zscore,0.98,0.4802700860509373,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,51,0,3,none,0.98,3.438048348696667,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,0,zscore,0.98,0.783871903681486,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,21,0,3,zscore,0.98,1.1040046422145862,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,5,zscore,0.98,1.524435402220119,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,31,0,3,amplify,0.98,2.8466424944060242,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,31,0,3,amplify,0.98,2.84386814494775,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,31,0,3,zscore,0.98,1.468802618637742,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,27,0,3,amplify,0.98,2.543327114131415,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,3,none,0.98,3.304315757712312,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,31,0,3,none,0.98,2.985888929990608,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,31,0,3,zscore,0.98,1.3930654159174056,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,41,0,5,zscore,0.98,1.12893273888264,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,41,0,3,amplify,0.98,3.027832638625023,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,41,0,3,none,0.98,3.106573922077949,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,3,none,0.98,3.4320076872581393,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,21,0,0,zscore,0.98,0.6283925090938178,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,41,0,3,zscore,0.98,1.595501219286663,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,31,0,3,amplify,0.98,2.961175155370011,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,41,0,3,none,0.98,3.1461568576115124,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,41,0,3,zscore,0.98,1.5950496612487608,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,5,zscore,0.98,1.6342223320339615,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,3,amplify,0.98,3.167308826473652,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,41,0,3,amplify,0.98,3.2221610742462614,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,0,zscore,0.98,0.6989594693868814,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,3,zscore,0.98,1.6618918194540304,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,27,0,3,zscore,0.98,1.4302310926070745,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,27,0,3,none,0.98,2.696245770071174,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,0,zscore,0.98,0.8757284513600602,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,5,zscore,0.98,1.279879401595882,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,3,zscore,0.98,1.7576393904792822,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,51,0,3,amplify,0.98,3.1651721699883186,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,41,0,5,zscore,0.97,1.1835635437751264,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,51,0,5,zscore,0.97,1.0887092302592856,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
