amp_window,score_window,diff_order,smooth,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
21,31,0,3,0.98,3.0302329316710463,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
5,31,2,0,0.98,2.2997362748684913,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,7,0.98,3.034194830302567,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
21,31,2,0,0.98,3.179416316168856,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,3,0.98,3.196730466094772,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
21,41,0,3,0.98,3.0629274603877104,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,7,0.98,2.9258336920303183,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,2,0,0.98,2.618271096407708,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,31,0,3,0.98,3.236030194726764,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,51,0,3,0.98,3.4320076872581393,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
17,51,2,0,0.98,3.360146759797468,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
17,51,0,3,0.98,3.89867052565968,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,31,2,0,0.98,2.33963892526217,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,31,2,0,0.97,2.461977675411446,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
11,51,2,0,0.97,2.6675240150816815,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
17,31,2,0,0.97,2.4890417205370357,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,51,2,0,0.97,2.473088386388693,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,41,0,0,0.97,2.4214160116955465,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
9,27,2,0,0.97,2.0561587808159834,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
17,27,2,0,0.97,2.29918453766157,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
7,51,2,0,0.97,2.4081015781250925,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
21,51,2,0,0.97,3.099676062345776,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
21,27,2,0,0.97,2.419620953898982,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
5,31,2,0,0.97,2.1327861988214565,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
5,51,2,0,0.97,2.340562826124404,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
21,31,2,0,0.97,2.671761047143036,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
7,27,2,0,0.97,1.9895185683002872,0.4,0.5454545454545454,0.4615384615384615,6,9,5,15
17,41,2,0,0.96,2.5484722265400497,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
21,41,2,0,0.96,2.48602735182557,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
5,31,2,0,0.96,1.984884878065631,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
5,51,2,0,0.96,2.0945461239584473,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
11,41,2,0,0.96,2.17795224052212,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
5,41,2,0,0.96,1.9097387587610215,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
21,27,2,0,0.96,2.04311623197874,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
17,31,2,0,0.96,2.036299161396242,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
17,27,2,0,0.96,1.9402290735917607,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
7,31,2,0,0.96,1.9751497646378082,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,41,2,0,0.96,2.4175314376537638,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
21,31,2,0,0.96,2.0968795583869086,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
13,31,2,0,0.96,2.2720742942303693,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
7,41,2,0,0.96,2.0777368967074397,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
7,51,2,0,0.96,2.145249496693188,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
9,27,2,0,0.96,1.8897115972358016,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
9,31,2,0,0.96,1.9932753201853435,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
9,51,2,0,0.96,2.308919452850843,0.35,0.6363636363636364,0.45161290322580644,7,13,4,20
