amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
3,21,1,0.92,1.2379407372826876,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
9,31,1,0.92,1.4651678141506674,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
9,27,1,0.92,1.4039481346441023,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
11,27,1,0.92,1.3152093902277977,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
5,15,1,0.96,1.7942050593852485,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
9,7,1,0.96,1.582037012841532,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
7,15,1,0.96,1.8203606626103979,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
11,21,0,0.96,1.5413013568306637,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
3,15,1,0.96,1.6364805063215364,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
3,7,1,0.96,1.5560190033679786,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
11,21,1,0.96,2.0511616050109787,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
3,21,0,0.96,1.4988962373974761,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
7,7,1,0.96,1.5721459782183422,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
9,21,0,0.96,1.5146633020946183,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
5,7,1,0.96,1.3786324521413509,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
11,15,1,0.96,1.910342208567026,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
11,7,1,0.96,1.6880894175720236,0.15,0.2727272727272727,0.19354838709677416,3,17,8,20
7,31,0,0.85,1.0401173205112002,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
9,27,0,0.85,0.9130070551631103,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
5,31,0,0.85,1.0823190277720895,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
3,31,1,0.85,0.8518078025921657,0.1095890410958904,0.7272727272727273,0.19047619047619047,8,65,3,73
