amp_window,score_window,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
7,15,0.96,1.3870143155222128,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
9,7,0.96,1.3607474879613781,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
7,21,0.96,1.4852334688108841,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
7,11,0.9,0.8883099083474597,0.061224489795918366,0.08823529411764706,0.07228915662650602,3,46,31,49
11,7,0.9,0.9998485753396016,0.061224489795918366,0.08823529411764706,0.07228915662650602,3,46,31,49
5,15,0.9,0.974885601823892,0.061224489795918366,0.08823529411764706,0.07228915662650602,3,46,31,49
9,11,0.9,0.9207431400091322,0.061224489795918366,0.08823529411764706,0.07228915662650602,3,46,31,49
9,7,0.9,0.9697955116413728,0.061224489795918366,0.08823529411764706,0.07228915662650602,3,46,31,49
5,15,0.95,1.2684956624015775,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
11,11,0.95,1.3359509496677962,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
11,7,0.95,1.3052933239992495,0.08,0.058823529411764705,0.06779661016949153,2,23,32,25
